country_name,country_code,indicator_name,indicator_code, debt 
Morocco,MAR,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 444,654,847.00 "
Mozambique,MOZ,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 398,670,211.50 "
Mozambique,,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 123,137,923.00 "
Myanmar,MMR,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,
Myanmar,,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 1,246,429,044.00 "
Myanmar,MMR,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 238,945,887.70 "
Nepal,NPL,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 212,259,894.40 "
Nepal,NPL,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD,
Nepal,NPL,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 60,671,504.00 "
Nicaragua,NIC,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 214,530,576.50 "
Nicaragua,NIC,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 704,277,144.40 "
Nicaragua,NIC,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 116,217,740.10 "
Niger,NER,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 153,947,964.40 "
Niger,NER,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 613,393,210.20 "
Niger,NER,"PPG, official creditors (INT, current US$)",yes," 58,798,606.40 "
Nigeria,NGA,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 384,008,302.00 "
Nigeria,NGA,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 1,642,510,516.00 "
Nigeria,NGA,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 192,447,817.60 "
Pakistan,PAK,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 3,754,135,338.00 "
,PAK,"PPG, official creditors (DIS, current US$)",yes," 5,254,500,103.00 "
,PAK,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 1,195,133,408.00 "
Papua New Guinea,PNG,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 109,113,831.20 "
Papua New Guinea,PNG,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 574,864,846.70 "
Papua New Guinea,PNG,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 52,382,010.90 "
Paraguay,PRY,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 265,976,193.60 "
Paraguay,,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 477,257,251.50 "
,PRY,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 61,920,250.50 "
Peru,PER,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 668,208,784.70 "
Peru,PER,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 1,701,637,273.00 "
Peru,PER,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 140,395,404.30 "
Philippines,PHL,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 1,409,531,845.00 "
Philippines,PHL,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD,
Philippines,PHL,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 358,797,479.80 "
